Medicamento, Interage com, Efeito Clínico, Grau da interação, início da ação, Recomendação
Aciclovir, Tenofovir, Tontura; diarréia; vômito; neuropatia, Moderada, --, Monitorar aumento dos efeitos tóxicos do tenofovir (tontura; diarréia; neuropatia; vômito)
Aciclovir, Zidovudina, Letargia e fadiga grave, Moderada, Rápido, Observar a ocorrência de letargia e fadiga.
Ácido épsilon aminocapróico, Tretinoína, ↑risco de trombose, Grave, --, Monitorar paciente via hemograma; TAP e TTPA; Monitorar o paciente quanto aos sinais clínicos como: dor no peito; falta de ar; hemoptise; hematúria; perda súbita da visão; dor; vermelhidão ou inchaço
Ácido fólico, Capecitabina, Ocorrência de anorexia; ulceração da boca; diarréia com sangue; sangramento vaginal, Grave, --, O uso concomitante deve ser evitado.  Os doentes devem ser monitorizados atentamente quanto a toxicidade potencial da capecitabina; como neutropenia; trombocitopenia; estomatite; hemorragia gastrointestinal; diarréia grave; vômito; reações cutâneas; e neuropatia. Monitorar paciente via hemograma.
Amicacina/ Gentamicina, AINEs: Diclofenaco/ Ibuprofeno/ Naproxeno, ↑ocorrência de nefrotoxicidade, Moderada, --, Monitorar aumento dos efeitos nefrotóxicos dos aminoglicosídeos (amicacina/gentamicina).
Amicacina/ Gentamicina, Cefalotina, ↑ ocorrência de nefrotoxicidade, Moderada, --, Monitorar aumento dos efeitos nefrotóxicos dos aminoglicosídeos (amicacina/gentamicina).
Amiodarona, Diltiazem/ Verapamil, Bradcardia; parada sinusal e ↓ débito cardíaco, Grave, --, Considerar modificação da terapia. Monitorar aumento dos efeitos terapêuticos da Amiodarona e sinais de toxicidade.
Amiodarona, Atazanavir/ Lopinavir/ Ritonavir, Arritmias cardíacas potencialmente letais, Grave, --, Uso concomitante deve ser evitado.

Amiodarona, Propranolol/ Metoprolol, Hipotensão arterial; bradcardia e parada cardíaca, Grave, --, Monitorar sinais e sintomas de bradcardia. Monitorar a pressão arterial. Exceção: Atenolol.
Amiodarona, Ciclosporina, ↑ efeito terapêutico da ciclosporina (imunossupressão), Moderada, --, Considerar modificação na terapia ou ajuste de dose.
Amiodarona, Digoxina, Náusea; vômito e arritmia (toxicidade pela digoxina), Moderada, Demorado, Considerar modificação da terapia ou redução de um terço da dose da Digoxina. Monitorar efeitos tóxicos (náusea; vômito e arritmia).
Amiodarona , Lidocaína , Crises convulsivas, Moderada, --, Monitorar aumento da toxicidade da Lidocaína (convulsões).
Amiodarona, Amitriptilina/Levofloxacino/Moxifloxacino/Claritromicina/Clorpromazina/Domperidona/Octreotida/Voriconazol, Arritmias ventriculares, Grave, --, Uso concomitante deve ser feito com cautela. Observar risco-benefício. Monitorar ocorrÊncia de arritmias.
Amiodarona, Hidrocortisona/Ondansetrona, Risco de arritmias; Hipocalemia; Hipomagnesemia, Grave, --, Monitorar frequência cardíaca e níveis séricos de potássio e magnésio.
Ampicilina, Alopurinol, ↑ ocorrência de hipersensibilidade cutânea à ampicilina, Moderada, --, Monitorar o aumento da incidência de reações de hipersensibilidade.
Ampicilina, Doxiciclina, ↓ efeitos terapêuticos da Ampicilina, Grave, --, Administrar os medicamentos com intervalo de pelo menos duas horas.
Anfoterecina B, Amicacina/ Gentamicina, ↑ efeito nefrotóxico dos aminoglicosídeos, Moderada, --, Monitorar função renal.
Anfoterecina B, Ciclosporina, ↑ efeito nefrotóxico da ciclosporina, Moderada, --, Monitorar função renal
Anlodipino, Ritonavir/ Lopinavir/ Atazanavir, ↑ efeitos terapêuticos e tóxicos do anlodipino, Moderada, --, Monitorar o aumento dos efeitos terapêuticos (hipotensão arterial) e tóxicos (fadiga; edema; alterações do ritmo cardíaco).
Anlodipino, Atenolol/Metoprolol/Propranolol, ↑ Efeito hipotensor do anlodipino e ocorrência de bradicardia, Moderada, --, Monitorar ocorrência de bradicardia; hipotensão arterial ou sinais de insuficiência cardíaca.
Anlodipino, Carbamazepina, ↓ efeito terapêutico do anlodipino, Moderada, --, Monitorar a pressão arterial.
Anlodipino, Carbonato de cálcio, ↓ efeito terapêutico do anlodipino, Moderada, --, Monitorar a pressão arterial.
Anlodipino, Ciclosporina, ↑ efeitos terapêuticos e tóxicos do anlodipino, Moderada, --, Monitorar o aumento dos efeitos terapêuticos (hipotensão arterial) e tóxicos (fadiga; edema; alterações do ritmo cardíaco).
Anlodipino/ Nifedipino/ Nimodipino/ Diltiazem/ Verapamil, Cetoconazol/ Itraconazol/ Miconazol, ↑ efeitos terapêuticos e tóxicos dos bloqueadores de canal de cálcio, Moderada, --, Monitorar o aumento dos efeitos terapêuticos (hipotensão arterial) e tóxicos (fadiga; edema; alterações do ritmo cardíaco).

Anlodipino/ Nifedipino/ Nimodipino/ Diltiazem/ Verapamil, Atracúrio/ Pancurônio / Suxametônio, ↑ efeito bloqueador neuromuscular do atracúrio/pancurônio, Grave, --, Monitorar o aumento/prolongamento dos efeitos terapêuticos (paralisia muscular) de agentes bloqueadores neuromusculares (não despolarizantes).
